angle,radius,x,y,x_left1,y_left1,x_left2,y_left2,x_mid,y_mid,x_right1,y_right1,x_right2,y_right2
-180,0.364189435,0.635810565,2.1,-25.94842839,21.80033301,-3.530561842,5.470585985,0.646288196,2.037481797,,,,
-177,0.360709331,0.639785009,2.081121932,-25.76942992,21.65863947,-3.588258444,5.504238019,0.65138747,2.018298228,,,,
-174,0.357476301,0.644481992,2.062633552,-25.59361247,21.52039452,-3.685794482,5.5685463,0.657238596,1.999578401,,,,
-171,0.354614547,0.649751346,2.044526063,-25.42023498,21.38486014,-3.823269816,5.663322151,0.663682007,1.981300578,,,,
-168,0.351791136,0.655896345,2.02685851,-25.24308701,21.24770053,-3.969355416,5.762508826,0.671038069,1.963551341,,,,
-165,0.350924185,0.661033266,2.009174137,-25.06665618,21.10993121,-4.103096602,5.851400924,0.677321006,1.945699831,,,,
-162,0.350792995,0.666376036,1.991599003,-24.89206515,20.97389117,-4.234183709,5.94252877,0.683801531,1.927889263,,,,
-159,0.351073472,0.672244679,1.97418652,-24.71668109,20.83785709,-4.370650764,6.038661799,0.690801794,1.910037582,,,,
-156,0.351161976,0.679197572,1.957169557,-24.54515294,20.70623695,-4.51797113,6.144988567,0.700052246,1.891938415,,,,
-153,0.35325307,0.68524921,1.939626462,-24.36929663,20.57001989,-4.657054478,6.243255483,0.707438683,1.873769837,,,,
-150,0.356051474,0.691650378,1.921974263,-24.19207415,20.43310305,-4.753906995,6.306530988,0.716014536,1.854814874,,,,
-147,0.359300766,0.698665022,1.904310777,-24.014206,20.29638664,-4.834182874,6.356416752,0.725519351,1.835660026,,,,
-144,0.361985672,0.70714744,1.887230161,-23.84072275,20.16498465,-4.922381678,6.414535293,0.736277248,1.817461076,,,,
-141,0.366015369,0.715552634,1.869659065,-23.66253808,20.02965778,-5.011117286,6.472457695,0.747021589,1.798699856,,,,
-138,0.371419062,0.723981846,1.851472138,-23.47834478,19.88946013,-5.101279557,6.530837159,0.757870546,1.779247605,,,,
-135,0.377130523,0.73332845,1.83332845,-23.29377045,19.75003878,-5.197059731,6.594527794,0.76963594,1.759957627,,,,
-132,0.382982237,0.743734864,1.815388733,-23.11025344,19.61273526,-5.299010508,6.664274725,0.782957016,1.740964916,,,,
-129,0.38947185,0.754897423,1.797323525,-22.92485572,19.47479421,-5.405925934,6.738482355,0.797101451,1.721918584,,,,
-126,0.39784084,0.766155022,1.77814,-22.7285017,19.32803236,-5.515752038,6.813818949,0.811526966,1.70161888,,,,
-123,0.407360135,0.778135769,1.758359044,-22.52570293,19.17687272,-5.631316304,6.893667671,0.826773382,1.680733443,,,,
-120,0.417454889,0.791272555,1.738473461,-22.32088545,19.02543642,-5.756407519,6.98116202,0.843190452,1.659873792,,,,
-117,0.427735198,0.805812284,1.718885148,-22.11772842,18.87701651,-5.890623398,7.077075918,0.860189002,1.640558271,,,,
-114,0.440084729,0.821001415,1.697962595,-21.90103139,18.71832598,-6.031832775,7.17752948,0.87744153,1.620642195,,,,
-111,0.454868248,0.836989799,1.675343907,-21.66714615,18.54656798,-6.181766871,7.283600316,0.895702907,1.599002229,,,,
-108,0.470602724,0.854575761,1.652430213,-21.42899424,18.37322355,-6.342409376,7.399175717,0.915455455,1.577431543,,,,
-105,0.486871018,0.873988508,1.629718709,-21.19121365,18.20234659,-6.514123422,7.525318911,0.936821541,1.556552765,,,,
-102,0.505394227,0.894922632,1.60564985,-20.93890655,18.02142783,-6.698375847,7.661112672,0.95979037,1.534517566,,,,
-99,0.527257854,0.9175187,1.579233565,-20.66232381,17.82268469,-6.89820538,7.807930104,0.985278642,1.509613376,,,,
-96,0.550094871,0.942499428,1.552918606,-20.38464298,17.62587171,-7.112841161,7.968633135,1.013409705,1.484917241,,,,
-93,0.573945933,0.969961991,1.52684064,-20.106696,17.4316781,-7.342600492,8.143714348,1.046325587,1.458976185,,,,
-90,0.602694937,1,1.497305063,-19.76324015,17.19633886,-7.596107398,8.335778216,1.084213675,1.428023868,,,,
-87,0.63291977,1.033124461,1.467947625,-19.33421457,16.91648034,-7.909406114,8.579033182,1.124953245,1.397970721,,,,
-84,0.66434763,1.069443237,1.439291736,-18.89675277,16.6355189,-8.321244922,8.90296836,1.168476286,1.369504848,,,,
-81,0.702278334,1.109860535,1.406367878,-18.39791243,16.31349787,-8.856020103,9.318623522,1.214787936,1.337735901,,,,
-78,0.741975435,1.154265367,1.374238508,-17.89681108,15.99626996,-9.804224876,10.05812995,1.262155499,1.309061089,,,,
-75,0.784654517,1.203083533,1.342081938,-17.23245817,15.55975711,-10.91362036,10.92186133,1.31321073,1.281553269,,,,
-72,0.835531218,1.258193346,1.305362591,-16.30545258,14.9348696,-13.05931484,12.55051484,1.37098075,1.249969344,,,,
-69,0.886465577,1.317680851,1.272413088,-15.23284113,14.21169417,-14.63360369,13.76995616,1.432499858,1.223335009,,,,
-66,0.947867878,1.385532599,1.234079606,,,,,1.505365434,1.190223397,,,,
-63,1.008991004,1.45807233,1.200982433,,,,,1.580300447,1.166049736,,,,
-60,1.080470767,1.540235384,1.164284867,,,,,1.664850498,1.139717216,,,,
-57,1.146877746,1.624634389,1.13814739,,,,,1.73774028,1.136191524,,,,
-54,1.223667184,1.719253525,1.110032452,,,,,1.816719303,1.135288195,,,,
-51,1.285318537,1.808877164,1.10111989,,,,,1.879619993,1.162470548,4.907828548,-1.397920526,6.953686625,-2.972231745
-48,1.324653632,1.886366288,1.115590508,,,,,1.917690075,1.222400911,4.819022074,-1.240514227,8.274333282,-3.914407783
-45,1.335964215,1.944669356,1.155330644,,,,,1.928802829,1.310818903,5.070064246,-1.34839123,8.588258972,-4.062239361
-42,1.295765113,1.962941139,1.232963904,,,,,1.890432922,1.437731926,6.033886154,-2.018255184,7.895812582,-3.427078394
-39,1.222076033,1.949731454,1.330922633,,,,,1.83194499,1.570800207,,,,
-36,1.129682277,1.91393216,1.435989418,,,,,1.759870178,1.701069323,,,,
-33,1.032740299,1.866128893,1.53752932,,,,,1.696152668,1.811429469,,,,
-30,0.941544756,1.815401677,1.629227622,-17.42539304,16.74270916,-14.44085534,14.55047936,1.640498618,1.90127908,,,,
-27,0.862343043,1.768353278,1.708504451,-18.76171999,17.70680185,-13.95386976,14.18266634,1.591573468,1.975597786,,,,
-24,0.795268242,1.72651369,1.776535265,-20.17216171,18.71977274,-11.95634988,12.70897445,1.549248856,2.037365851,,,,
-21,0.739067652,1.689979094,1.835141841,-21.33991578,19.55697402,-11.45556287,12.35436716,1.512481485,2.090347948,,,,
-18,0.691929682,1.658064232,1.886181969,-22.25016964,20.21107448,-11.11276597,12.12018759,1.480400496,2.136444407,,,,
-15,0.650125717,1.62797322,1.931735083,-22.93778259,20.69666438,-10.79501694,11.90058974,1.450766947,2.176834777,,,,
-12,0.614502964,1.6010746,1.97223765,-23.44809511,21.0499194,-10.51144072,11.70439086,1.424329287,2.212679825,,,,
-9,0.584170355,1.576978249,2.008615623,-23.90628158,21.36718061,-10.25720559,11.5285875,1.400623194,2.244904019,,,,
-6,0.557381177,1.554327785,2.041737802,-24.32524441,21.65627234,-10.02051062,11.36383787,1.378595931,2.27391227,,,,
-3,0.533467855,1.532736756,2.07208045,-24.71116035,21.92137069,-9.827204507,11.22725995,1.357892908,2.30009331,,,,
0,0.513763987,1.513763987,2.1,-25.06401416,22.16501569,-9.654984173,11.10601988,1.341013355,2.323474858,,,,
3,0.496196899,1.495516878,2.125968939,-25.39372117,22.39182833,-9.49083275,10.9895991,1.325196671,2.344763009,,,,
6,0.480233201,1.477602433,2.150198039,-25.70357197,22.60372706,-9.331799946,10.87556214,1.309880541,2.364212615,,,,
9,0.466936441,1.461187678,2.173044952,-25.96092989,22.78716756,-9.184995724,10.77093834,1.29573832,2.382774046,,,,
12,0.454897059,1.444956467,2.194578417,-26.18447711,22.95020879,-9.041605585,10.66770031,1.281931508,2.399916192,,,,
15,0.444780577,1.429625047,2.215117684,-26.39757179,23.10579349,-8.905836278,10.5701489,1.268856656,2.416336576,,,,
18,0.43625599,1.414904102,2.234810515,-26.60190335,23.25495636,-8.775517737,10.47648542,1.256307216,2.432070374,,,,
21,0.429021532,1.400526105,2.253747567,-26.79858696,23.39828969,-8.648733765,10.38506528,1.244099902,2.447097464,,,,
24,0.422829391,1.386273869,2.271980207,-26.9883123,23.5360985,-8.524046682,10.29459392,1.23208964,2.461376043,,,,
27,0.418143157,1.372568281,2.289833021,-27.17386771,23.67115496,-8.406094402,10.20865863,1.2204865,2.475472885,,,,
30,0.414810281,1.359236241,2.307405141,-27.3563648,23.8041604,-8.291028306,10.12503077,1.209165107,2.489421324,,,,
33,0.412247529,1.345739869,2.324526096,-27.5346205,23.93351284,-8.17560974,10.04048482,1.197816056,2.50277689,,,,
36,0.411390307,1.332821749,2.341809155,-27.71394715,24.06442364,-8.063706687,9.959410056,1.186803178,2.516586049,,,,
39,0.410798226,1.319250183,2.3585237,-27.88831707,24.19051863,-7.948446018,9.874477768,1.175474978,2.5294413,,,,
42,0.412145547,1.306283831,2.3757792,-28.0674179,24.32118815,-7.836272143,9.79311584,1.164436413,2.543196546,,,,
45,0.413492868,1.292383611,2.392383611,-28.24100267,24.44625372,-7.719042146,9.706213723,1.152920163,2.555773376,,,,
48,0.417024537,1.279043881,2.409909627,-28.42306132,24.57889239,-7.603999447,9.622547118,1.141601663,2.569665448,,,,
51,0.420880875,1.264868917,2.427085872,-28.60244743,24.70836248,-7.484063455,9.533886211,1.129816964,2.582769913,,,,
54,0.426120738,1.250467485,2.444738919,-28.77976549,24.83626795,-7.361888265,9.443774647,1.117573216,2.596365264,,,,
57,0.43249299,1.235552565,2.462719142,-28.95733433,24.96396039,-7.235839328,9.350501156,1.104659761,2.610158767,,,,
60,0.440237238,1.220118619,2.481256632,-29.14044275,25.0955734,-7.105513179,9.253993347,1.091309901,2.624353582,,,,
63,0.449889046,1.204245353,2.500854075,-29.33373903,25.23500107,-6.970627758,9.154648653,1.077690481,2.639366004,,,,
66,0.460649351,1.187362971,2.520824122,-29.53116062,25.37661813,-6.8285611,9.049135699,1.063554539,2.654155942,,,,
69,0.472892548,1.169469533,2.541483227,-29.73566691,25.52284201,-6.678795437,8.937389334,1.050123608,2.668173114,,,,
72,0.487510121,1.150648912,2.563649678,-29.95485373,25.67998168,-6.52057209,8.819778874,1.03636135,2.683087544,,,,
75,0.5033339,1.130272399,2.586183213,-30.17846229,25.83891179,-6.35160753,8.692692996,1.021437637,2.697817543,,,,
78,0.521679784,1.108463326,2.610279829,-30.41759402,26.00885391,-6.170797672,8.556675932,1.002984677,2.715927384,,,,
81,0.542331315,1.084839309,2.635654317,-30.66982625,26.18737867,-5.976102016,8.409462395,0.983065286,2.734763466,,,,
84,0.565460922,1.059106761,2.662363268,-30.93587483,26.37472703,-5.76551396,8.249266543,0.961456536,2.754282125,,,,
87,0.590996386,1.030930361,2.690186446,-31.21389445,26.56899691,-5.537196393,8.074096789,0.937930918,2.774127699,,,,
90,0.620293337,1,2.720293337,-31.51501465,26.77892444,-5.287258554,7.8818795,0.912147366,2.795445261,,,,
93,0.651922944,0.965880989,2.751029507,-31.82404675,26.99158101,-5.015503961,7.670263992,0.883941208,2.816304305,,,,
96,0.686045718,0.928288695,2.782287488,-32.14016732,27.20595951,-4.610576968,7.346877438,0.853111763,2.836488245,,,,
99,0.721267302,0.887168935,2.812387305,-32.44770676,27.40918437,-3.996740234,6.831563329,0.818971971,2.854470208,,,,
102,0.75549718,0.842923304,2.838987754,-32.72452432,27.58362363,-3.794747257,6.648638955,0.780800701,2.86833498,,,,
105,0.784489683,0.796959129,2.857758845,-32.92924832,27.69710104,-3.603250744,6.468943803,0.741861617,2.873272075,,,,
108,0.803491178,0.751707571,2.86416552,-33.01793851,27.71654111,-3.423443092,6.292119064,0.704499998,2.865236883,,,,
111,0.807667367,0.710557902,2.854022445,-32.94931396,27.61216646,-3.267957866,6.120808397,0.671813035,2.840873336,,,,
114,0.793813686,0.677126886,2.825184887,-32.70102409,27.36994464,-3.151986353,5.96806942,0.646877747,2.79914005,,,,
117,0.765949609,0.652266154,2.782466099,-32.31752024,27.02721947,-3.076430005,5.840475906,0.62797797,2.74844118,,,,
120,0.730521943,0.634739029,2.73265056,-31.86300959,26.63503839,-3.033064963,5.737555331,0.612400463,2.694756522,,,,
123,0.695776197,0.621053123,2.683527019,-31.41252273,26.25065271,-3.004338508,5.650455718,0.600818662,2.642165562,,,,
126,0.662317049,0.610699806,2.635825748,-30.97320987,25.8793121,-2.987902468,5.577625642,0.592666398,2.591373977,,,,
129,0.630420898,0.603263274,2.589929055,-30.54890937,25.52366724,-2.981942143,5.517653277,0.587483411,2.542741838,,,,
132,0.60050822,0.598181571,2.546264576,-30.1439764,25.18661992,-2.983892162,5.468325249,0.584652809,2.496662782,,,,
